# Cafe Brick

### THE BREAKFAST PLATE

Mixed Berries Oat Milk | 5,20 EUR | -
Orange Juice Milk | 5,20 EUR | -
Banana Mango | 4,20 EUR | -

### WATER

Still Water | 2,99 EUR | -
Sparkling Water | 2,99 EUR | -
Still Water 0,75L | 4,99 EUR | -
Sparkling Water 0,75L | 4,99 EUR | -

### SOFTDRINKS

Fritz Kola | 3,55 EUR | -
Fritz Kola Light | 3,55 EUR | -
Fritz Spritz | 3,55 EUR | -
Fritz Limo | 3,55 EUR | -

### ICED TEA

Earl Grey | 6,50 EUR | -
Vanilla | 6,50 EUR | -
Herbal | 6,50 EUR | -
Herbal mit Fruitgarden (Orange, Zitrone, Honigmelone) | 6,50 EUR | -
Green | 6,50 EUR | -

### HOT DRINKS

#### COFFEE
Espresso Shot | 1,00 EUR | -
Espresso Shot mit Oat Milk | 1,50 EUR | -
Espresso Shot mit Lactose Free Milk | 1,30 EUR | -
Espresso Shot mit Vanilla Milk | 1,80 EUR | -
Decaff | 0,22 EUR | -

#### CHAI & MATCHA LATTE
Chai Latte | 4,20 EUR | -
Dirty Chai (with Espresso) | 5,20 EUR | -
Matcha Latte | 5,70 EUR | -
Iced Matcha Latte | 4,50 EUR | -

#### HOT BEVERAGES
Hot Chocolate | 4,50 EUR | -
Fresh Lemon Tea | 4,20 EUR | -
Fresh Ginger Tea | 4,20 EUR | -
Fresh Mint Tea | 4,20 EUR | -
Fresh Mixed Tea | 4,50 EUR | -

#### LOOSE TEA TEEKANNES
Earl Grey | 3,80 EUR | -
Earl Grey Teekannes | 6,80 EUR | -
Darjeeling Tea | 3,80 EUR | -
Green Tea | 3,80 EUR | -
Herbalgarden Tea | 3,80 EUR | -
Fruitgarden Tea | 3,80 EUR | -

#### FRESH JUICES
Fresh Orange Juice | 6,50 EUR | -
Fresh Orange Juice 470ml | 6,50 EUR | -

#### ICED TEA
Matcha (beispielsweise Ginger & Lemon) | 4,90 EUR | -

### SPARKLING WINE & COCKTAILS

Sekt/Sparkling Wine Bottle | 28,00 EUR | -
Mimosa | 6,20 EUR | -
Lillet Wild Berry | 6,90 EUR | -
Aperol Spritz | 6,90 EUR | -
