# 7 Sisters Sushi & more

### Suppen
Miso Shiru | 3,50 EUR | f, d
Tori Roll | 6,50 EUR | g, k, a, f
Spicy Roll | 6,50 EUR | d, g, k, a, f
Nina Roll | 7,00 EUR | d, g, k, a, f
Spicy Ebi Roll | 7,00 EUR | b, g, k, a, 1, f
Mini Sake Roll | 7,50 EUR | d, g, k, a, f
Spicy Lachs Roll | 6,50 EUR | d, g, k, a, f
Atlantic Roll | 6,50 EUR | d, g, k, a, f, 2
Tokio Roll | 7,50 EUR | d, g, k, a
Mini Avo Roll | 7,50 EUR | g, k, a, f
Buddha Roll | 6,50 EUR | g, k, a, f
Veggie Rolls | 6,50 EUR | g, k, a, f
Hokkaido Roll | 6,00 EUR | g, k, a, f
Mini Ebi Roll | 7,50 EUR | g, b, k, a, f
Ginkgo Roll | 7,00 EUR | k, a, f, g
Ryu Roll | 7,00 EUR | g, k, a, f
Chicago Roll | 6,50 EUR | 1, g, k, a, 22

### Special Rolls
Caterpillar | 7,00 EUR | d, g, k, f
Aki Hot | 7,50 EUR | d, g, k, f
Rainbow Roll | 8,00 EUR | d, g, k, 1, f
Dragon Roll | 8,00 EUR | d, g, k, a, f, 1
Ebi Tempura Roll | 6,50 EUR | b, 1, g, k, a, f
Hawaii Roll | 8,00 EUR | d, g, k, b, f
Aki Ryu Roll | 8,50 EUR | d, 1, b, g, k, a, f
Sake Unagi Roll | 8,00 EUR | d, g, k, f
Tiger Roll | 7,50 EUR | d, g, k, b, f
Volcano | 8,00 EUR | d, g, k, f
Osaka Roll | 7,00 EUR | d, g, k, f
Alaska Roll | 8,00 EUR | g, b, k, a, 1, f
Chikara Roll | 7,00 EUR | g, k, a, f
Kombu Leaf | 7,50 EUR | d, k, f
Spicy Vegan Roll | 7,50 EUR | k, f, g
Hotategai Roll | 8,50 EUR | b, g, k, n, 1, f

### Temaki / Futo Maki
Sake Temaki | 4,50 EUR | d, k, 1
Maguro Temaki | 5,00 EUR | d, k, 1
Sakana Futo | 8,00 EUR | d, g, k, f

### Nachspeisen
Mochi | 5,50 EUR | k, 2
Mochi Eis | 6,00 EUR | k, 2, 1

### Getränke - Wasser & Softdrinks
Still/Mineral 0,2l | 2,20 EUR | -
Still/Mineral 0,4l | 3,90 EUR | -
Still/Mineral Flasche | 7,00 EUR | -
Cola/Zero | 2,60 EUR | 1, 22, 12
Cola/Zero 0,4l | 3,90 EUR | 1, 22, 12
Fanta/Sprite | 2,60 EUR | 1, 22
Fanta/Sprite 0,4l | 3,90 EUR | 1, 22
Ginger Ale | 2,60 EUR | 1, 13
Ginger Ale 0,4l | 3,90 EUR | 1, 13

### Getränke - Säfte
Apfelsaft trüb 0,2l | 2,60 EUR | -
Apfelsaft trüb 0,4l | 4,00 EUR | -
Mangonektar 0,2l | 2,60 EUR | -
Mangonektar 0,4l | 4,00 EUR | -
Saftschorle 0,2l | 2,60 EUR | -
Saftschorle 0,4l | 4,00 EUR | -
Lycheesaft 0,2l | 3,90 EUR | -

### Getränke - Tee
Sencha / Jasmin Tasse | 3,00 EUR | -
Sencha / Jasmin Kännchen | 3,90 EUR | -
Genmaicha & Sencha Tasse | 3,90 EUR | -
Genmaicha & Sencha Kännchen | 5,50 EUR | -
Ingwer & Zitronengras Tasse | 3,90 EUR | -
Ingwer & Zitronengras Kännchen | 5,50 EUR | -
Pfefferminz & Ingwer Tasse | 3,90 EUR | -
Pfefferminz & Ingwer Kännchen | 5,50 EUR | -

### Getränke - Aperitif
Aperol Spritz | 6,90 EUR | -
Hono | 6,00 EUR | -
Sake Yuzu Spritz | 6,90 EUR | -
Raku | 6,00 EUR | -
Ume
