# Via He Hai

### VORSPEISEN UND KLEINE GERICHTE

Nem gỏi cuốn mit Rindfleisch | 4,20 EUR | -
Phở xào thịt Gà mit Hühnerfleisch und gebratenem Reis | 14,90 EUR | -
Hủ tiêu | 13,90 EUR | -
Lẩu thập cẩm für 2 Personen | 50,00 EUR | -
Lẩu thập cẩm für 4 Personen | 80,00 EUR | -
Wantan-Nudeln-Suppe | 13,90 EUR | -

### DESSERTS

Gebackene Banane mit Honig und Sesam | 4,20 EUR | -
Lotuskerne mit Kokosmilch | 4,20 EUR | -
Ananas mit Kokosmilch gekocht | 4,20 EUR | -
Bananen mit Kokosmilch gekocht | 4,20 EUR | -

### GETRÄNKE - FASSBIER

Radeberger 0,3 l | 3,50 EUR | -
Radeberger 0,5 l | 4,80 EUR | -
Radler 0,3 l | 3,50 EUR | 2, 3
Radler 0,5 l | 4,80 EUR | 2, 3

### GETRÄNKE - FLASCHENBIER

Saigon | 3,50 EUR | -
Tiger-Bier | 3,50 EUR | -
Becks | 3,50 EUR | -
Schöfferhofer Hefe Weizen 0,5 l | 4,80 EUR | -
Schöfferhofer Hefe Dunkel 0,5 l | 4,80 EUR | -
Schöfferhofer Hefe Kristall 0,5 l | 4,80 EUR | -
Köstritzer Schwarzbier 0,5 l | 4,80 EUR | -
Augustiner Lagerbier hell 0,5 l | 4,80 EUR | -

### GETRÄNKE - ALKOHOLFREIES BIER

Krombacher alkoholfrei 0,33 l | 3,50 EUR | -
Erdinger Hefe alkoholfrei 0,5 l | 4,80 EUR | -

### GETRÄNKE - ROTWEIN

Merlot Villa Romanti IGT 0,2 l | 4,50 EUR | -
Côtes Du Rhône A.O.C. 0,2 l | 4,80 EUR | -
Cabernet Sauvignon, Villa de Pins 0,75 l | 25,00 EUR | -

### GETRÄNKE - WEISSWEIN

Chardonnay Villa Romanti IGT 0,2 l | 4,50 EUR | -
Sauvignon Blanc Vin de Pays d´Oc 0,2 l | 4,80 EUR | -
Chardonnay, Villa de Pins 0,75 l | 25,00 EUR | -

### GETRÄNKE - PROSECCO

Prosecco Vino Frizzante di Zeno 0,1 l | 4,20 EUR | -
Prosecco Vino Frizzante di Zeno 0,75 l | 25,00 EUR | -

### GETRÄNKE - LIKÖRE & CREAMS

Bailey's 4 cl | 4,80 EUR | 1
Ramazotti Amaro 4 cl | 4,80 EUR | -

### GETRÄNKE - SCHNAPS

Lúa Mới 2 cl | 4,20 EUR | -
Nêp Mới 2 cl | 4,20 EUR | -
Johnny Walker Black Label 4 cl | 5,80 EUR | 1
Remy Martin 4 cl | 5,80 EUR | -

### GETRÄNKE - RUM

