# Kreuzberger Himmel

### KALTE VORSPEISEN
Hummus | 8,10 EUR | -
Rosé de Ksara 0,2l | 6,50 EUR | 1, 7
Rosé de Ksara 0,75l | 24,00 EUR | 1, 7

### LONGDRINKS
Gin Tonic | 7,50 EUR | -
Gin Tonic alkoholfrei | 7,50 EUR | -
Campari Orange | 7,50 EUR | -
Campari Orange alkoholfrei | 7,50 EUR | -

### SPIRITUOSEN
Berolina Vodka 2cl | 3,90 EUR | -
Berolina Gin 2cl | 3,90 EUR | -
Slyrs Bavarian Single Malt 2cl | 4,80 EUR | -
Chivas Regal 12 Jahre 2cl | 4,80 EUR | -
Bergamotte Liqueur 2cl | 3,20 EUR | -
Williams Liqueur 2cl | 3,00 EUR | -
Pastis 51 2cl | 3,20 EUR | -
Averna Amaro 2cl | 3,20 EUR | -
Aperol Aperitiv 2cl | 3,00 EUR | -
Campari Bitter 2cl | 3,20 EUR | -
Grappa di Vinaccia 2cl | 4,50 EUR | -
Clos St. Thomas Arak Touma 2cl | 3,00 EUR | -
