# Mokja Restaurant

### MITTAGSMENÜ (12:00-15:00)
Cappuccino | 3,80 EUR | -
Kaffee Latte | 3,80 EUR | -
Milch Kaffee | 3,80 EUR | -
Flat White | 4,20 EUR | -
Vietnamesischer Kaffee | 4,50 EUR | -

### WARMER TEE
Frische Ingwer-Orange-Minze-Gojibeere | 3,90 EUR | -
Zitronengras-Limette-Minze-Gojibeere | 3,90 EUR | -
Grüntee-Jasminblüten-Gojibeere | 3,90 EUR | -
Earl Grey | 3,90 EUR | -
Genmaicha | 3,90 EUR | -
Hojicha | 3,90 EUR | -

### HAUSGEMACHTE GETRÄNKE
Yuzu Limonade | 4,50 EUR | -
Black Lychee Lemonade | 4,50 EUR | -
Drachenfrucht-Limette | 4,50 EUR | -
Drachenfrucht-Maracuja | 4,50 EUR | -
Maracuja Saft | 4,50 EUR | -
Mango Lassi | 4,50 EUR | -
Matcha Latte | 4,50 EUR | -
Earl Grey Latte | 4,50 EUR | -

### SOFTDRINKS
Wasser Still (0,4L) | 2,00 EUR | -
Wasser Sprudel (0,4L) | 2,00 EUR | -
Wasser Still (0,75L) | 3,50 EUR | -
Wasser Sprudel (0,75L) | 3,50 EUR | -
Asiatischer Red Bull | 3,90 EUR | -
Kokoswasser (0,5L) | 5,50 EUR | -
Birnensaft (0,24L) | 3,50 EUR | -
Weintraubensaft (0,24L) | 3,50 EUR | -
Sprite | 3,00 EUR | -
Fanta | 3,00 EUR | -
Coca Cola | 3,00 EUR | -
Fritz-Kola (0,33L) | 3,50 EUR | -
Fritz-Kola Zuckerfrei (0,33L) | 3,50 EUR | -
Fritz-Apfelschorle (0,33L) | 3,50 EUR | -

### BIER
Warsteiner (0,5L) | 4,20 EUR | -
Warsteiner Alkoholfrei (0,5L) | 4,20 EUR | -
Erdinger Hefeweizen (0,5L) | 4,90 EUR | -
Erdinger Hefeweizen Alkoholfrei (0,5L) | 4,90 EUR | -
Cass Bier (0,33L) | 3,90 EUR | -
Kirin Bier (0,33L) | 3,90 EUR | -

### WHITE WINE
Grauburgunder (0,2L) | 4,90 EUR | -
Grauburgunder (0,75L) | 16,00 EUR | -

### RED WINE
Spätburgunder (0,2L) | 4,90 EUR | -
Spätburgunder (0,75L) | 16,00 EUR | -

### KOREAN LIQUOR
Makgeolli (0,75L) | 8,50 EUR | -
Makgeolli Pfirsich (0,35L) | 5,50 EUR | -
Soju Classic (0,35L) | 10,50 EUR | -
Soju Shot | 2,00 EUR | -
Vodka Absolut (0,7L) | 40,00 EUR | -
Vodka Absolut Shot | 3,50 EUR | -

### LONGDRINKS
Aperol Spritz | 7,90 EUR | -
Yuzu Spritz | 7,90 EUR | -
Hugo | 7,90 EUR | -
Gin Tonic | 7,90 EUR | -
Moscow Mule | 7,90 EUR | -
Mojito | 7,90 EUR | -
Somaek | 7,90 EUR | -
Soju Cuba Libre | 7,90 EUR | -
Umeshu Soda Fizz | 7,90 EUR | -
Soju Sour | 7,90 EUR | -
Yuzu Gin Fizz | 9,00 EUR | -
Espresso Martini | 9,00 EUR | -
Pina Colada | 9,00 EUR | -
Strawberry Margarita | 9,00 EUR | -
