# King King X-Berg

### TAPAS
Edamame | 4,90 EUR | -
King King Mango mit gegrilltem Lachs | 16,90 EUR | C, E, F, G, N
King King Mango mit gegrilltem Thunfisch | 17,90 EUR | C, E, F, G, N
King King Udon mit Hühnerfleisch | 13,90 EUR | A, B, C, H, J, M
King King Udon mit knuspriger Hühnerbrust | 14,50 EUR | A, B, C, H, J, M
King King Udon mit Rinderfleisch | 14,90 EUR | A, B, C, H, J, M
King King Udon mit Enten | 15,90 EUR | A, B, C, H, J, M
King King Udon mit Garnelen | 14,90 EUR | A, B, C, H, J, M
King King Udon mit Tofu | 12,90 EUR | A, B, C, H, J, M
King King Udon mit gegrilltem Lachs | 16,90 EUR | A, B, C, H, J, M
King King Udon mit gegrilltem Thunfisch | 17,90 EUR | A, B, C, H, J, M
King King Wok mit Hühnerfleisch | 13,90 EUR | F, J, M
King King Wok mit knuspriger Hühnerbrust | 14,50 EUR | F, J, M
King King Wok mit Rinderfleisch | 14,90 EUR | F, J, M
King King Wok mit Enten | 15,90 EUR | F, J, M
King King Wok mit Garnelen | 14,90 EUR | F, J, M
King King Wok mit Tofu | 12,90 EUR | F, J, M
King King Wok mit gegrilltem Lachs | 16,90 EUR | F, J, M
King King Wok mit gegrilltem Thunfisch | 17,90 EUR | F, J, M

### KOCH'S EMPFEHLUNG
Pho mit Bio-Tofu | 11,50 EUR | B, M
Pho mit Huhn | 11,90 EUR | B, M
Pho mit Rind | 12,00 EUR | B, M
Pad Thai mit Bio-Tofu | 13,50 EUR | A, B, C, H, J, M
Pad Thai mit Huhn | 14,50 EUR | A, B, C, H, J, M
Pad Thai mit Garnelen | 15,90 EUR | A, B, C, H, J, M
Salmon Bowl | 15,90 EUR | -
Duck Hosin | 15,90 EUR | -
Entrecote | 17,90 EUR | -

### KIDS MENU
Mr Chicken | 6,90 EUR | -
Mr Salmon | 6,90 EUR | -

### DESSERTS
Green Tea Eis | 5,90 EUR | -
Mochi Eis 3 stk. | 5,90 EUR | -
Panna Cotta | 3,90 EUR | -

### APERITIF
Prosecco | 4,50 EUR | -
Yuzu Sake Aperitif | 6,90 EUR | -
Shouchu Aperitif | 9,00 EUR | -
Lillet Wildberry | 6,90 EUR | -
Lillet Vive | 6,90 EUR | -
Aperol Spritz | 6,90 EUR | -
Maracuja Spritz | 6,90 EUR | -
Hugo | 6,90 EUR | -

### HOMEMADE LEMONADE
Lime Soda | 5,80 EUR | -
Passion Lemonade | 5,80 EUR | -
Ginger Lemonade | 5,50 EUR | -
Cranberry Lemonade | 5,80 EUR | -

### ICE TEA
Peach | 5,00 EUR | -
Pomegranate | 5,00 EUR | -
Watermelon & Pineapple | 5,00 EUR | -
Blueberry | 5,00 EUR | -

### ALCOHOL FREE DRINK
Water Still / Classic 0,25L | 3,00 EUR | -
Water Still / Classic 0,75L | 6,00 EUR | -
Cola / Cola Zero / Cola Light / Fanta / Sprite 0,2L | 3,00 EUR | 1, 2, 9
Tonic / Ginger Ale / Wild Berry / Ginger Beer 0,2L | 3,00 EUR | 2, 3, 4, 12
Saft (Bauer) 0,3L | 3,80 EUR | -
Schorle | 3,20 EUR | -

### SHAKE JUICES
Mango Lassi | 5,90 EUR | -
Apple & Minz | 5,90 EUR | -
Passion & Pineapple | 5,90 EUR | -

### COCKTAILS
Whisky Cola | 9,00 EUR | 2, 3, 4, 12
Whisky Sour | 9,00 EUR | A
Lemon Caipirinha | 9,00 EUR | 1, 2, 9
Moscow Mule | 9,00 EUR | 1, 2, 9
Pina Colada | 9,00 EUR | -
Mojito | 9,00 EUR | -
Gin Tonic | 9,00 EUR | 2, 3, 4,
