# Anh Ba Restaurant

### BANH MÌ
Cơm Rang Chay mit knuspriger Vegan Ente | 14,90 EUR | F, N
Royal Teriyaki mit Tofu | 12,90 EUR | F
Royal Teriyaki mit Seitan | 12,90 EUR | F
Royal Teriyaki mit knuspriger Vegan Ente | 14,90 EUR | F
Sot Lac Vegan mit Tofu | 11,90 EUR | F, H, N
Sot Lac Vegan mit Seitan | 12,90 EUR | F, H, N
Sot Lac Vegan mit knuspriger Vegan Ente | 14,90 EUR | F, H, N
Golden Vegan | 12,90 EUR | F, H, N

### HOMEMADE DRINKS
Spicy Summer | 5,90 EUR | -
Kumquat Limonade | 5,90 EUR | -
Strawberry Lemonade | 5,90 EUR | -
Mango Drink | 5,90 EUR | -
Maracujas Drink | 5,90 EUR | -
Himbeere Drinks | 5,90 EUR | -
Lychee Ice Tea | 5,90 EUR | 1, 5
Ha Noi Green | 5,90 EUR | -
Ginger Lemonade | 5,90 EUR | -
Mangolassi | 4,90 EUR | L, 11

### BEER
Tiger Bier 0,3l | 3,90 EUR | -
Tiger Bier 0,5l | 5,50 EUR | -
Benediktiner Hell 0,3l | 3,90 EUR | -
Benediktiner Hell 0,5l | 5,50 EUR | -
Jeverfun alkoholfrei 0,3l | 3,90 EUR | -
Jeverfun alkoholfrei 0,5l | 4,90 EUR | -
Benediktiner Weissbier alkoholfrei | 4,90 EUR | -
Benediktiner Weissbier naturtrüb | 4,90 EUR | -

### SHOTS SPECIAL
Chuối Hột | 3,90 EUR | -
Rượu Thuốc | 3,90 EUR | -
Rượu Sâm | 3,90 EUR | -
Rượu Táo | 3,90 EUR | -

### APERITIFS
Aperol Spritz | 7,90 EUR | 4, 5, 11
Hugo Spritz | 7,90 EUR | 4, 5, 11
Campari Spritz | 7,90 EUR | 4, 5, 11

### LONG DRINKS
Maracuja Mojito | 7,90 EUR | 4, 5
Strawberry Mojito | 7,90 EUR | 4, 5
Coconut Mojito | 7,90 EUR | 4, 5
Gin Gin Mule | 7,90 EUR | 4, 5
Saigon Moscow Mule | 7,90 EUR | 4, 5
Cuba Libre | 7,90 EUR | 4, 5

### COCKTAILS
Lemon Rosemary Smash | 8,90 EUR | 5
Viet Bali Smash | 8,90 EUR | 5
